County Name,Census Tract,Count,Population,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,IBL Ranking
Clark,53011040408,71,19701,274.94,213.48,358.65,9
Clark,53011040409,24,10887,121.58,76.74,257.38,2
Clark,53011040411,79,9916,591.86,467.02,758.61,10
Clark,53011040412,38,26714,102.66,71.95,145.82,1
Clark,53011040413,34,15585,260.15,179.04,366.47,9
Clark,53011040414,35,33453,225.93,153.01,324.26,8
Clark,53011040415,60,22819,191.62,146.09,251.07,6
Clark,53011040416,32,17536,206.43,137.86,302.55,7
Clark,53011040504,32,27617,159.78,106.79,231.74,4
Clark,53011040505,71,30612,258.37,199.8,333.41,9
Clark,53011040507,22,10832,176.99,106.9,282.16,5
Clark,53011040508,52,35556,137.36,102.25,181.7,2
Clark,53011040509,35,15395,185.46,128.83,263.94,6
Clark,53011040510,64,30665,208.87,158.46,272.81,7
Clark,53011040511,19,12328,179.03,103.3,302.06,5
Clark,53011040603,53,25182,212.23,155.99,288.27,7
Clark,53011040604,55,31471,246.01,182.29,326.39,9
Clark,53011040605,63,30202,188.3,144.28,244.96,6
Clark,53011040608,21,24175,159.33,94.43,254,4
Clark,53011040609,13,25026,153.23 (NR),74.69 (NR),282.17 (NR),3
Clark,53011040610,20,18712,292.96,172.44,466.47,10
Clark,53011040703,59,33662,209.93,158.14,274.35,7
Clark,53011040706,36,19492,256.39,171.71,375.32,9
Clark,53011040707,29,16550,193,127.23,284.78,6
Clark,53011040709,38,24586,221.86,155.1,308.5,8
Clark,53011040710,93,47815,101.22,80.3,129.41,1
Clark,53011040711,26,15545,335.86,209.25,520.64,10
Clark,53011040712,35,31370,184.21,126.21,261.3,5
Clark,53011040803,45,26712,158.65,114.32,216.53,4
Clark,53011040805,64,39142,140.34,106.36,183.82,2
Clark,53011040806,52,24605,261.15,192.71,347.05,9
Clark,53011040808,20,8545,186.17,112.75,301.52,6
Clark,53011040809,37,33159,214.17,147.05,303.43,7
Clark,53011040810,26,16373,188.05,120.29,282.54,6
Clark,53011040904,56,30525,179.29,133.64,237.01,5
Clark,53011040905,32,17370,119.27,80.76,188.22,1
Clark,53011040907,45,33214,148.55,106.2,207.74,3
Clark,53011040908,64,33878,183.88,139.83,240.85,5
Clark,53011040909,81,25942,196.97,155.56,253.88,6
Clark,53011040910,32,21852,153.83,104.97,219.36,3
Clark,53011041003,74,21546,196.61,152.96,254.25,6
Clark,53011041005,18,13438,170.54,99.59,278.26,5
Clark,53011041007,77,16863,322.5,253.62,409.49,10
Clark,53011041008,44,19048,161.92,115.52,233.12,4
Clark,53011041009,77,18561,170.5,131.37,227.41,5
Clark,53011041010,54,19885,169.93,127.26,229.73,4
Clark,53011041011,38,17488,148.21,103.72,214.82,3
Clark,53011041104,25,19300,175.12,109.29,271.88,5
Clark,53011041105,47,30628,133.44,97.37,180.08,2
Clark,53011041107,33,14265,181.18,123.87,261.03,5
Clark,53011041108,196,35470,169.07,139.2,208.52,4
Clark,53011041110,68,32699,228.54,175.52,293.7,8
Clark,53011041111,18,17874,219,111.84,420.8,7
Clark,53011041112,55,29824,147.51,110.16,195.93,3
Clark,53011041201,67,33683,168.91,130.11,218.49,4
Clark,53011041203,66,26461,215.74,166.18,278.13,7
Clark,53011041205,71,25917,161.21,123.83,210.53,4
Clark,53011041206,63,30153,222.5,168.07,290.25,8
Clark,53011041309,91,24608,217.35,172.47,275.79,7
Clark,53011041310,161,24969,139.24,117.39,179.38,2
Clark,53011041312,42,23742,152.26,109.13,209.93,3
Clark,53011041313,21,14483,218.86,132.12,347.48,7
Clark,53011041317,75,23999,277.5,217.28,351.7,10
Clark,53011041318,48,29082,214.47,154.27,292.28,7
Clark,53011041319,47,32834,167.64,120.11,228.96,4
Clark,53011041320,60,31684,298.08,221.46,395.5,10
Clark,53011041321,38,14151,215.62,149.14,312.39,7
Clark,53011041322,90,22674,244.54,192.8,309.66,9
Clark,53011041323,73,27933,176.53,137.11,227.07,5
Clark,53011041325,37,28340,136.8,95.78,192.38,2
Clark,53011041326,18,12875,257.09,144.55,428.83,9
Clark,53011041327,58,45096,168.08,126.52,219.8,4
Clark,53011041328,61,30052,198.92,151.93,256.72,6
Clark,53011041329,88,24970,145.64,114.24,190.12,3
Clark,53011041330,43,23910,248.53,173.99,346.62,9
Clark,53011041331,16,13700,138.1 (NR),76.73 (NR),235.13 (NR),2
Clark,53011041332,36,19121,257.93,177.48,364.03,9
Clark,53011041333,37,16983,318.8,218.52,452.02,10
Clark,53011041400,53,28320,185.23,138.1,244.39,6
Clark,53011041500,27,13870,145.94,95.18,220.25,3
Clark,53011041600,41,18943,200.02,143.05,275.5,6
Clark,53011041700,33,20519,247.83,159.89,376.99,9
Clark,53011041800,28,21175,165.35,107.35,246.02,4
Clark,53011041900,48,10531,251.73,182.53,365.1,9
Clark,53011042000,13,8268,131.7 (NR),69.42 (NR),239.59 (NR),2
Clark,53011042100,19,16280,143.27,82.61,236.98,3
Clark,53011042300,37,18716,146.24,101.98,210.17,3
Clark,53011042400,25,11075,190.9,121.04,440.21,6
Clark,53011042500,12,8069,133.79 (NR),65.81 (NR),278.61 (NR),2
Clark,53011042600,70,27507,208.07,161.04,273.47,7
Clark,53011042700,60,22529,245.94,185.85,322.17,9
Clark,53011042800,32,14527,123.99,83.13,189.44,2
Clark,53011042900,35,8016,221.46,144.24,355.61,8
Clark,53011043000,23,9034,131.64,83.35,250.52,2
Clark,53011043100,69,20844,169.36,130.97,225.65,4
Columbia,53013960200,82,20645,183.96,143.65,244.85,5
Cowlitz,53015000300,**,2620,**,**,**,2
Cowlitz,53015000400,105,18400,235.14,183.5,311.54,8
Cowlitz,53015000501,42,14354,250.77,178.93,345.99,9
Cowlitz,53015000502,59,24961,363.99,272.46,479.16,10
Cowlitz,53015000601,61,19762,173.61,127.76,237.79,5
Cowlitz,53015000602,63,15441,186.07,138.08,256.58,6
Cowlitz,53015000702,50,15825,246.31,180.74,333.61,9
Cowlitz,53015000703,41,8428,290.81,202.69,424.11,10
Cowlitz,53015000704,111,36171,242.41,198.99,294.87,8
Cowlitz,53015000800,92,34355,165.97,132.47,209.67,4
Cowlitz,53015000900,94,36001,210.6,169.84,260.11,7
Cowlitz,53015001000,11,6235,149.36 (NR),74.25 (NR),294.56 (NR),3
Cowlitz,53015001100,67,29691,216.94,167.4,278.43,7
Cowlitz,53015001200,84,22275,221.4,175.21,284.1,8
Cowlitz,53015001300,32,18464,194.18,130.7,279.72,6
Cowlitz,53015001501,31,16702,173.46,111.64,262.23,5
Cowlitz,53015001502,116,44598,240.72,197.95,290.88,8
Cowlitz,53015001600,80,35437,187.06,145.97,238.75,6
Cowlitz,53015001700,73,27671,235.81,180.28,307.11,8
Cowlitz,53015001800,27,9386,220.84,140.81,351.21,8
Cowlitz,53015001900,80,26852,240.89,188.2,310.49,8
Cowlitz,53015002001,61,18901,159.4,121.25,222.97,4
Cowlitz,53015002002,86,32759,190.23,150.74,240.99,6
Cowlitz,53015002100,228,22223,366.29,304.63,443.99,10
Douglas,53017950100,54,36334,153.24,113.27,204.23,3
Douglas,53017950200,37,11894,202.62,140.67,315.41,7
Douglas,53017950300,62,35594,128.88,98.31,168.74,2
Douglas,53017950400,82,35905,158.15,125.45,199.05,4
Douglas,53017950500,49,17016,217.64,158.01,297.32,7
Douglas,53017950600,43,22997,127.48,91.46,178.74,2
Douglas,53017950700,46,22490,218.29,159.43,293.67,7
Douglas,53017950800,78,28599,204.87,160.78,259.55,7
